type,task,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,adult,1.04985,1.00003,0,1.04949,1.00001,1.0483,1
binary,airlines,1.40304,1.01635,0,1.43512,0.997375,1.382,1
binary,albert,1.04398 (3),nan,0,1.11523,1.0005,0.942328,1
binary,amazon_employee_access,0.961464,0.881735,0,1.04794,1.00296,1.01188,1
binary,apsfailure,0.999963,0.985153,0,1.00089,1.00047,1.00038,1
binary,australian,1.00989,1.01474,0,1.01004,1.01012,1.01142,1
binary,bank-marketing,1.01424,0.950466,0,1.01464,0.999634,1.00816,1
binary,blood-transfusion,1.49475,1.37859,0,1.5323,0.984684,1.14945,1
binary,christine,1.07204,0.997874,0,1.04832,0.988328,1.03292,1
binary,credit-g,0.969817,0.828671,0,0.990519,1.00444,0.924225,1
binary,guiellermo,1.00431,0.933892,0,1.02388,0.999181,0.878423,1
binary,higgs,1.02021,0.844781,0,1.04128,0.998541,1.00536,1
binary,jasmine,0.984974,0.938779,0,1.00144,0.998387,1.00362,1
binary,kc1,0.99872,0.933978,0,0.99164,0.986559,1.01347,1
binary,kddcup09_appetency,1.18057,1.04302,0,1.17564,1.01619,1.143 (1),1
binary,kr-vs-kp,1.00005,0.958896,0,1.00021,0.99893,0.999171,1
binary,miniboone,1.00786,0.957217,0,1.00966,0.999177,1.00108,1
binary,nomao,1.00206,0.972989,0,1.00189,0.999597,1.00108,1
binary,numerai28.6,1.67918,1.54424,0,1.72983,1.04235,1.42807,1
binary,phoneme,0.993217,0.997887,0,1.00501,0.999561,1.01517,1
binary,riccardo,0.999985,0.996486,0,1.00008,0.998501,0.992007,1
binary,sylvine,1.01429,0.985456,0,1.01104,0.998803,1.02346,1
multiclass,car,1.04811,0.906496,0,1.05959,0.877995,1.05991,1
multiclass,cnae-9,1.0689,0.540919,0,1.07645,0.999463,1.05741,1
multiclass,connect-4,1.24663,-1.56536,0,1.40851,0.953984,1.27643,1
multiclass,covertype,0.980459,-0.361122,0,0.85645,0.944006,0.947258,1
multiclass,dilbert,1.18203,0.459087,0,1.20451,0.979366,1.1108,1
multiclass,dionis,0.524111,0.41433,0,nan,1.00195,nan,1
multiclass,fabert,1.02555,-5.23469,0,1.04931,1.00355,1.01149 (1),1
multiclass,fashion-mnist,0.995061,0.716602,0,1.05247,0.993378,0.820086,1
multiclass,helena,0.659966,-18.4202 (1),0,2.35779 (1),0.969902,1.979,1
multiclass,jannis,1.08328,-1.98888,0,1.06469,0.973369,0.99196,1
multiclass,jungle_chess_2pcs_raw_endgame_complete,1.33727,-3.30917,0,1.46456,0.933076,1.45876,1
multiclass,mfeat-factors,1.0595,0.788782,0,1.05324,0.992068,1.04493,1
multiclass,robert,-0.000562917,nan,0,1.54545,1.00007,0.639742,1
multiclass,segment,1.00352,0.807683,0,1.01188,0.991975,1.00804,1
multiclass,shuttle,1.00034,0.978606,0,1.00016,0.999762,1.00043,1
multiclass,vehicle,1.1182,-4.63046,0,1.16599,0.986335,1.0994,1
multiclass,volkert,1.00212,-5.58512,0,1.11101,0.953553,0.944576,1
